idadditive;code_additive;name_additive
1;e322;
2;e322i;
3;e500;
4;e500ii;
5;e920;
6;e503;
7;e503i;
8;e503ii;
9;e150;
10;e224;
11;e223;
12;e330;
13;e385;
14;e300;
15;e14xx;
16;e1105;
17;e270;
18;e160a;
19;e160ai;
20;e412;
21;e440;
22;e471;
23;e621;
24;e160b;
25;e422;
26;e450;
27;e472b;
28;e475;
29;e150c;
30;e627;
31;e631;
32;e100;
33;e101;
34;e101i;
35;e304;
36;e304i;
37;e450i;
38;e415;
39;e451;
40;e452;
41;e407;
42;e327;
43;e250;
44;e252;
45;e1400;
46;e442;
47;e120;
48;e202;
49;e150d;
50;e967;
51;e282;
52;e235;
53;e153;
54;e301;
55;e316;
56;e131;
57;e901;
58;e903;
59;e1510;
60;e401;
61;e410;
62;e476;
63;e150a;
64;e172;
65;e950;
66;e951;
67;e635;
68;e160c;
69;e296;
70;e420;
71;e420ii;
72;e414;
73;e133;
74;e306;
75;e163;
76;e326;
77;e472c;
78;e472e;
79;e164;
80;e392;
81;e508;
82;e140;
83;e140ii;
84;e162;
85;e141;
86;e200;
87;e509;
88;e262;
89;e262i;
90;e251;
91;e428;
92;e1442;
93;e222;
94;e228;
95;e500i;
96;e333;
97;e161b;
98;e331;
99;e335;
100;e524;
101;e336;
102;e127;
103;e220;
104;e525;
105;e450ii;
106;e461;
107;e307;
108;e290;
109;e452i;
110;e444;
111;e445;
112;e160;
113;e339;
114;e339iii;
115;e341;
116;e942;
117;e331iii;
118;e953;
119;e955;
120;e170;
121;e170i;
122;e553;
123;e553b;
124;e338;
125;e263;
126;e210;
127;e260;
128;e466;
129;e954;
130;e460;
131;e211;
132;e575;
133;e340;
134;e334;
135;e504;
136;e504i;
137;e1200;
138;e160e;
139;e141i;
140;e1518;
141;e965;
142;e965ii;
143;e470a;
144;e472a;
145;e960;
146;e968;
147;e501;
148;e501i;
149;e491;
150;e341iii;
151;e418;
152;e405;
153;e579;
154;e501ii;
155;e150b;
156;e129;
157;e952;
158;e102;
159;e142;
160;e417;
161;e406;
162;e999;
163;e440i;
164;e966;
165;e407a;
166;e481;
167;e104;
168;e122;
169;e124;
170;e262ii;
171;e551;
172;e472;
173;e320;
174;e1505;
175;e333iii;
176;e341i;
177;e110;
178;e171;
179;e451i;
180;e904;
181;e340ii;
182;e450iv;
183;e249;
184;e203;
185;e234;
186;e460ii;
187;e477;
188;e470b;
189;e339ii;
190;e1103;
191;e350;
192;e350ii;
193;e321;
194;e421;
195;e141ii;
196;e325;
197;e962;
198;e504ii;
199;e535;
200;e404;
201;e172ii;
202;e400;
203;e510;
204;e140i;
205;e464;
206;e261;
207;e336i;
208;e468;
209;e332;
210;e160aii;
211;e331i;
212;e473;
213;e1422;
214;e502;
215;e337;
216;e554;
217;e402;
218;e620;
219;e957;
220;e225;
221;e433;
222;e570;
223;e440ii;
224;e1100;
225;e905;
226;e905c;
227;e905ci;
228;e350i;
229;e460i;
230;e297;
231;e1420;
232;e413;
233;e1414;
234;e280;
235;e340i;
236;e511;
237;e965i;
238;e450iii;
239;e536;
240;e435;
241;e492;
242;e505;
243;e425;
244;e420i;
245;e463;
246;e516;
247;e151;
248;e155;
249;e218;
250;e174;
251;e555;
252;e450v;
253;e943a;
254;e943b;
255;e944;
256;e640;
257;e1412;
258;e900;
259;e959;
260;e640ii;
261;e132;
262;e310;
263;e302;
264;e961;
265;e315;
266;e941;
267;e1001;
268;e630;
269;e1101;
270;e482;
271;e221;
272;e242;
273;e638;
274;e1450;
275;e160d;
276;e640i;
277;e641;
278;e363;
279;e541;
280;e541i;
281;e921;
282;e526;
283;e281;
284;e514;
285;e572;
286;e1520;
287;e329;
288;e160f;
289;e335ii;
290;e336ii;
291;e341ii;
292;e166;
293;e1201;
294;e343;
295;e343i;
296;e160aiii;
297;e637;
298;e411;
299;e214;
300;e1521;
301;e585;
302;;potassium-iodide
303;e520;
304;e331ii;
305;e626;
306;e1104;
307;e578;
308;e927;
309;e927b;
310;e514ii;
311;e576;
312;e342;
313;e650;
314;e552;
315;e121;
316;e1404;
317;e1440;
318;e343ii;
319;e160aiv;
320;e319;
321;e529;
322;e339i;
323;e201;
324;e283;
325;e470;
326;e231;
327;e355;
328;e542;
329;e425ii;
330;e364;
331;e500iii;
332;e266;
333;e416;
334;e457;
335;e173;
336;e948;
337;e949;
338;e914;
339;e152;
340;e513;
341;e313;
342;e285;
343;e307b;
344;e386;
345;e452ii;
346;e311;
347;e175;
348;e902;
349;e905a;
350;e514i;
351;e958;
352;e628;
353;e354;
354;e517;
355;e1401;
356;e180;
357;e1202;
358;e226;
359;e1410;
360;e472d;
361;e440a;
362;e430;
363;e332ii;
364;e458;
365;e375;
366;e101ii;
367;e515;
368;e515i;
369;e459;
370;e230;
371;e580;
372;e381;
373;e216;
374;e323;
375;e910;
376;e550;
377;e333i;
378;e1451;
379;;isomaltose
380;e522;
381;e425i;
382;e559;
383;e474;
384;e452vi;
385;e432;
386;e905cii;
387;e1503;
388;e172i;
389;e469;
390;e527;
391;e419;
392;e212;
393;e507;
394;e434;
395;e172iii;
396;e900a;
397;e530;
398;e111;
399;e352;
400;e521;
401;e478;
402;e963;
403;e1102;
404;e307c;
405;e1205;
406;e574;
407;e639;
408;e431;
409;e446;
410;e577;
411;e309;
412;e1519;
413;e380;
414;e540;
415;e165;
416;e233;
417;e1203;
418;e303;
419;e232;
420;e181;
421;e123;
422;e927a;
423;e930;
424;e105;
425;e518;
426;e1000;
427;e161h;
428;e340iii;
429;e236;
430;e1411;
431;;quellkohlensäure
432;e15x;
433;e523;
434;e370;
435;e586;
436;e243;
437;e351;
438;e488;
439;e528;
440;e408;
441;e465;
442;e154;
443;e487;
444;e496;
445;e170ii;
446;e443;
447;e1204;
448;e515ii;
449;e452iii;
450;e103;
451;e312;
452;e451ii;
453;e916;
454;e125;
455;e462;
456;e490;
457;e906;
458;e710;
459;e161;
460;e424;
461;e332i;
462;e636;
463;e484;
464;e1504;
465;e130;
466;e265;
467;e908;
468;e383;
469;e450vii;
470;e426;
471;e365;
472;e964;
