idbrand;brand_name
1;carabreizh
2;jacquet
3;biocoop
4;la-belle-iloise
5;bn
6;nos-regions-ont-du-talent
7;riz-du-monde
8;michel-et-augustin
9;nautilus
10;leader-price
11;fraicheur-creole
12;cap-creole
13;croustisud
14;lustucru
15;lustucru-selection
16;le-moulin-du-pivert
17;planete-bio
18;connetable
19;uniekaas
20;auchan
21;planta-fin
22;unilever
23;francois-theron
24;picard
25;beghin-say
26;tereos
27;blonvilliers
28;delhaize
29;knorr
30;mont-pele
31;pochat-fils
32;lu
33;mondelez
34;kraft-foods
35;carrefour
36;caresse-antillaise
37;royal
38;bocage
39;lactalis
40;cafe-chaulet
41;maggi
42;nestle
43;vaval
44;liebig
45;casino-delices
46;casino
47;delices
48;moulin-des-moines
49;danone
50;gervais
51;uncle-ben-s
52;mars
53;president
54;cora
55;panzani
56;william-saurin
57;kara
58;vivis
59;vivis-confiture
60;vivis-fructose
61;ditriborg
62;aoste
63;aoste-selection
64;nature-bio
65;cassegrain
66;monoprix-gourmet
67;monoprix
68;bonne-maman
69;general-mills
70;chocapic
71;monoprix-exploitation
72;groupe-casino
73;societe
74;lindt
75;buitoni
76;andros
77;activia
78;mr-bagels
79;richesmonts
80;patrimoine-gourmand
81;groupe-louis-delhaize
82;saint-agaune
83;bordeau-chesnel
84;herta
85;le-bon-paris
86;joker
87;pagen-ab
88;daco-bello
89;alter-eco
90;kalibio
91;monique-ranou
92;selection-intermarche
93;les-mousquetaires
94;haribo
95;milka
96;francine
97;kritsen
98;croustipate
99;sante-nat
100;tropicana-pure-premium
101;tropicana
102;jordans
103;country-crisp
104;petit-ecolier
105;miko
106;st-moret
107;savencia
108;bledina
109;bjorg
110;fleury-michon
111;ethiquable
112;yoplait
113;jockey
114;les-2-vaches
115;stonyfield-france
116;orangina
117;peche-ocean
118;marque-repere
119;ronde-des-mers
120;bio-village
121;smiths
122;favorina
123;lidl
124;delhaiza
125;labeyrie
126;nik-naks
127;blini
128;isigny-ste-mere
129;primeal
130;volae
131;le-gaulois
132;philadelphia
133;kraft
134;mondelez-international
135;l-o-des-salines
136;materne
137;carrefour-baby
138;dr-oetker
139;ancel
140;oeufs-de-nos-regions
141;boursin
142;bel
143;grand-jury
