idproduct;idadditive
1386900;1
1386900;2
1386900;3
1386900;4
1004147;5
1038178;1
1038178;2
1038178;6
1038178;7
1016773;1
1016773;2
1016773;3
1016773;4
1016773;6
1016773;8
1411759;1
1411759;2
1336648;9
1336648;10
1175644;11
1175644;12
1175644;13
1405138;14
1071002;15
1131014;3
1131014;4
1131014;6
1131014;7
796424;16
796424;17
1047861;18
1047861;19
1047861;1
1047861;2
1047861;12
1133061;20
1133061;21
1827074;1
1827074;2
1827074;22
1933549;23
1148785;14
1148785;21
1162658;24
1014083;12
1014083;25
1014083;21
1014083;26
1014083;22
1014083;27
1014083;28
2580967;29
2580967;12
2580967;23
2580967;30
2580967;31
1829227;32
1829227;33
1829227;34
1829227;15
1829227;11
1829227;35
1829227;36
1829227;26
1829227;37
1829227;22
1829227;30
1826048;26
1826048;37
1826048;3
1826048;4
1158641;21
1113568;12
1113568;38
1007364;12
1007364;23
1137725;12
1007793;15
1007142;1
1007142;2
1060616;12
1005021;15
1005021;20
1104247;14
1175493;12
1175493;13
1008773;15
1112162;38
1112162;26
1112162;39
1112162;40
2611718;41
2611718;20
2611718;38
1047673;14
1047673;42
1047673;21
1047672;14
1047672;42
1047672;21
1047674;14
1047674;42
1047674;21
1047679;14
1047679;42
1047679;21
1241782;43
1241782;44
1241837;44
1241781;43
1241781;44
1241771;44
1241685;44
1241772;43
1241772;44
1047676;45
1047676;46
1190995;47
1190995;15
1190995;48
1190995;38
1190995;21
1212312;1
1212312;2
1077092;41
1077093;41
1047928;26
1047928;3
1013571;1
1013571;2
1133041;49
1133041;10
1133041;12
2034170;18
2034170;12
2034170;20
2034170;22
1012586;14
1067829;50
1104356;1
1104356;26
1104356;3
1104356;6
1751657;51
1751657;14
1046966;16
1046966;47
1046966;24
1046966;52
1103799;53
1242536;43
1242536;44
1242536;14
1105070;43
1105070;44
1105070;54
1241660;44
1036984;43
1036984;55
1103499;14
1080926;43
1080926;54
1027365;32
1027365;56
1027365;22
1027365;3
1027365;4
1027365;57
1027365;58
2066916;1
2066916;2
1420871;26
1420871;37
1420871;3
1420871;4
1170739;38
1214709;59
1214709;14
1214709;12
1214709;60
1214709;26
1214709;22
1214709;3
1214710;59
1214710;14
1214710;1
1214710;2
1214710;12
1214710;60
1214710;26
1214710;22
1214710;3
1132969;32
1132969;38
1132883;15
1132883;38
1734860;1
1734860;2
997695;1
997695;2
997695;26
997695;37
997695;3
997695;4
997695;6
997695;8
2596070;1
2596070;2
2596070;41
2596070;61
2596070;20
2596070;22
2596070;62
1411760;1
1411760;2
2034418;63
1134026;15
1010852;15
1067726;1
1067726;2
1411831;1
1411831;2
1103774;51
1103774;14
1103774;22
997751;64
997751;1
997751;2
997751;26
997751;37
997751;62
997751;3
997751;4
997751;6
997751;8
1074305;43
1074305;55
1403618;21
1077811;65
1077811;66
1299863;11
1304912;14
2551940;22
2551940;23
2551940;67
799770;1
799770;2
1826951;6
1826951;7
1826951;23
1725063;68
1725063;69
1725063;12
1159323;70
1159323;71
1159323;3
1159323;4
1208757;3
1208757;4
1129153;41
2066983;1
2066983;2
2066983;72
2066983;62
2066983;3
2066983;57
2067238;15
2067238;1
2067238;2
2067238;41
1000838;14
1285720;14
1003853;33
1003853;34
1003853;18
1003853;19
1045030;48
1045030;41
1416860;20
1416860;38
2571105;32
2571105;56
2571105;73
2571105;69
2571105;14
2571105;74
2571105;12
1848027;75
1848027;69
1848027;14
1848027;74
1848027;12
1025124;43
1025124;54
2109537;1
2109537;2
2109537;3
2109537;4
2109537;6
1025164;63
1025164;54
1872121;45
1872121;1
1872121;2
1872121;3
1872121;4
1034583;12
1025620;63
1025620;43
1025620;54
1025620;76
1000865;14
1037009;43
1037009;55
1016775;77
1016775;78
1016775;3
1016775;4
1016775;6
1016775;8
997687;12
997687;3
997687;4
997687;6
997687;8
1847637;1
1847637;2
1847637;26
1847637;37
1847637;3
1847637;4
1847637;6
1847637;8
1299718;15
1299718;68
2129820;17
2129820;12
1009732;24
1007737;79
1007737;12
1007737;80
1007737;22
1007737;81
1007737;23
1007737;30
1007737;31
1052331;12
2265377;49
2265377;10
1134344;14
1133526;82
1133526;83
1133526;53
1133526;84
1133526;1
1133526;2
1133526;21
1075116;14
1075116;12
1082207;43
1082207;44
2596248;32
2596248;85
2596248;1
2596248;2
2596248;41
2596248;61
2596248;22
2596248;62
1592518;14
2143178;12
1060717;86
1060717;17
1060717;51
1060717;1
1060717;2
817567;12
817567;21
1243828;41
1243828;22
1135949;10
1135949;87
1844456;43
1844456;54
1844456;41
1844456;39
1844456;40
1092552;12
1829041;88
1829041;89
1828961;90
2033511;63
2033511;91
1043068;1
1043068;2
1043054;1
1043054;2
1102209;18
1102209;19
1102209;14
1102209;22
1067010;14
1067010;22
2595985;92
2595985;48
1321179;12
1321817;41
1176827;15
1176827;48
1176827;41
1040897;15
1040897;68
1040897;93
1040897;94
1040897;12
1040897;20
1040897;38
1048802;1
1048802;26
1048802;37
1048802;3
1048802;95
1071796;43
1071796;55
1071796;41
1071796;39
1094477;15
1094477;10
1094477;12
1094477;20
1094477;38
1040920;15
1040920;93
1040920;94
1040920;12
1040920;20
1040920;38
1070958;14
1070958;22
1015630;12
1214823;12
1214823;22
1214823;5
1109969;20
1761534;1
1761534;2
1723458;1
1723458;2
1723458;62
1723458;3
1723458;4
1723458;6
1723458;8
1383281;20
1383281;38
1383288;20
1383288;38
1110028;72
1110028;38
1216810;12
1216810;96
1216810;21
1216811;38
1848509;41
1094873;70
1094873;71
1094873;26
1094873;22
1094873;3
1094873;6
1330946;68
1330946;12
1095167;15
1095167;48
1095167;1
1095167;2
1095167;60
1095167;70
1095167;71
1095167;25
1095167;26
1095167;37
1095167;22
1095167;3
1095167;4
1176858;32
1176858;47
1176858;15
1176858;68
1176858;97
1176858;75
1176858;41
1176858;20
1176858;21
1130007;38
1110000;20
1784553;18
2324255;24
2324255;68
2324255;48
2324255;12
2324255;25
2324255;26
2324255;37
2324255;22
2324255;3
2324255;4
1823925;47
1823925;48
1823925;43
1823925;88
1823925;89
1823925;12
1823925;98
1823925;99
1823925;91
1003063;15
1003063;100
1133482;15
1133482;43
1133482;54
1133480;15
1133480;48
1133480;1
1133480;2
1133480;12
1133480;41
1133480;22
1045416;101
1045416;3
1045416;4
1320906;15
1320906;12
1320906;41
1320906;22
1010895;15
2033765;1
2033765;2
2033765;3
2033765;6
1010845;15
998211;15
998211;87
840252;24
840252;90
940350;47
940350;43
997773;47
997773;102
997773;15
997773;48
997773;103
997773;12
997773;25
997773;26
997773;22
997773;3
799126;32
799126;47
799126;53
799126;84
799126;75
799126;1
799126;2
799126;72
799126;57
799126;58
1319837;76
1037004;43
1037004;55
1320455;91
1277236;1
1277236;2
1277236;3
2033260;15
2033260;104
946906;63
946906;43
946906;54
946906;41
2034292;23
2034292;30
2034292;31
304982;1
304982;2
1167041;68
1069832;18
1069832;19
1069832;43
1069832;54
1069832;26
1319788;45
1319788;15
1319788;20
1319788;38
1319788;26
1319788;37
1319788;105
1319788;106
1183143;23
1415152;74
1415144;45
770450;15
770450;61
770450;20
1243849;15
1243849;18
1243849;19
1243849;48
1243849;107
1243849;22
1243849;77
1243849;62
2171637;43
2171637;54
961677;33
961677;34
961677;29
961677;108
961677;12
961677;98
1025568;43
1025568;54
1029376;33
1029376;34
1029376;24
2185055;12
770454;1
770454;2
770454;60
770454;21
770454;22
1001905;15
1001905;48
1001905;60
1001905;40
1001905;109
1321208;15
1321208;11
1321208;12
1321208;38
1321208;26
1321208;37
1321208;22
1081041;12
1081041;65
1081041;66
1159887;49
1159887;18
1159887;14
1159887;12
1159887;110
1159887;111
997884;1
997884;2
997884;3
997884;4
997884;6
997884;8
2067219;1
2067219;2
2067219;62
2067219;6
2067219;8
1850520;47
1850520;15
1850520;48
1850520;14
1850520;12
1850520;110
1850520;111
1850520;65
1850520;66
1038102;112
1038102;35
1038102;36
1038102;107
2034430;1
2034430;2
2034430;113
2034430;114
2034430;115
1036962;43
1036962;54
1285009;15
1285009;17
1285009;14
1285009;12
1285009;41
1285009;38
1125757;15
1125757;14
1125757;35
1125757;12
1125757;38
1025577;43
1025577;54
1159891;49
1159891;12
1074333;1
1074333;2
1037336;41
1037336;21
1037336;78
1075046;20
2595927;80
1074477;1
1074477;2
1049249;47
1049249;73
1049249;63
1049249;48
1049249;103
1049249;12
1074395;43
1074395;55
1074395;12
2033987;15
1320561;1
1320561;2
1320561;80
1284442;14
1284442;12
1284815;14
1320284;60
1320284;41
1320284;22
1320284;116
1010893;15
1879539;18
1879539;19
1879539;14
1034626;53
1034626;48
1067338;14
1067338;12
1067338;98
1067338;117
1174166;18
1174166;68
1174166;1
1174166;2
1174166;118
1174166;119
1093088;120
1093088;121
1093088;48
1093088;44
1093088;122
1093088;123
1284443;49
1284443;124
1284443;65
1284443;119
1010359;47
1010359;125
1010359;14
1010359;76
1010359;80
1825990;12
1277297;49
1277297;53
1277297;68
1277297;97
1277297;75
1277297;12
1277297;91
1277297;22
1277297;3
1786982;49
1786982;75
1786982;48
1786982;14
1786982;12
1786982;98
1091034;48
1091034;14
1091034;12
1091034;38
1067343;69
1067343;14
1067343;12
1067343;98
1067343;117
1067343;65
1067343;119
1045029;48
1045029;41
2555979;126
2555979;127
2555979;12
2555979;21
2555979;128
1136084;18
1136084;19
1136084;97
1136084;48
1136084;1
1136084;2
1136084;12
1136084;70
1136084;71
1136084;22
1136084;6
1136084;8
1021802;14
1021802;12
1135918;43
1135918;55
1045447;41
1093480;12
1140422;41
1077708;49
1077708;124
1077708;65
1077708;66
1077708;129
1068781;43
1068781;44
1068781;60
1068781;130
1077681;48
1077681;14
1077681;12
1077681;65
1077681;119
1077673;12
1077673;98
1077673;65
1077686;49
1077686;131
1077686;124
1077686;65
1077686;66
1077686;129
2033285;63
2033285;80
1078594;102
1078594;14
1078594;12
1080664;63
1080664;43
1080664;40
1093455;14
1093455;12
1067350;69
1067350;14
1067350;12
1067350;98
1067350;117
1067350;65
1067350;119
1071810;15
1071810;68
1071810;43
1071810;55
1071810;98
1286915;15
1286915;68
1286915;97
1286915;48
1286915;10
1286915;43
1286915;44
1286915;14
1286915;54
1286915;12
1286915;38
1286915;22
1286915;6
1286915;8
1000672;14
1299717;15
1299717;12
1299717;132
1299717;119
1714362;49
1714362;124
996256;15
996256;23
1879369;49
1879369;12
1879369;124
1879369;65
1879369;66
1027368;56
1027368;97
1027368;75
1027368;12
1027368;91
1027368;57
1027368;58
1067819;14
1067819;12
1067819;38
1060297;15
1060297;49
1060297;103
1060297;17
1081331;1
1081331;2
1879440;12
1879440;72
1879440;111
1297721;18
1297721;19
1297721;131
1297721;14
1297721;12
1297721;20
1299078;48
1299078;14
1299078;12
1299078;20
1299078;65
1299078;66
1076211;14
1076211;78
1076211;5
1847634;1
1847634;2
1847634;3
1847634;4
1847634;6
1847634;8
1079356;23
1079356;30
1079356;31
1080499;23
1082630;133
1067000;51
1067000;14
1067000;22
1067000;78
1067000;5
1034631;15
1034631;48
1034631;12
1034631;110
1034631;111
1034631;65
1034631;119
1287017;12
1287017;111
1287017;65
1287017;119
1879274;49
1879274;12
1879274;98
1879274;134
1879274;124
1879274;65
1879274;66
1256949;49
1256949;12
1256949;124
1256949;65
1256949;66
1879149;49
1879149;12
1879149;98
1879149;134
1879149;124
1879149;65
1879149;66
1034601;68
1034601;69
1034601;14
1034601;12
997305;12
1039424;35
1039424;36
1039424;80
1039424;22
1154858;45
1154858;43
1154858;44
1154858;54
1154858;26
1907715;43
1907715;54
1907715;39
1115894;15
1115894;97
1115894;48
1115894;17
1401644;96
1119849;49
1119849;12
1119849;124
1119849;66
1059574;12
1118951;49
1118951;98
1118951;124
1118951;65
1118951;66
1528938;120
1528938;121
1528938;108
1528938;135
1528938;136
1119862;73
1119862;18
1119862;14
1119862;12
1015532;97
1015532;48
1015532;12
1015532;72
1015532;111
1015532;65
1015532;119
1051209;41
1051209;3
1051209;4
2628731;33
2628731;34
2628731;73
2628731;12
2628731;98
2628731;135
2628731;136
1758582;12
1758582;72
1758582;111
1010896;15
2526815;15
2526815;18
2526815;19
2526815;41
2526815;38
2526815;21
2526846;15
2526846;68
2526846;75
2526846;20
2526846;21
997786;137
997786;1
997786;2
997786;26
997786;37
997786;78
997786;3
997786;4
997786;6
997786;8
1221167;1
1221167;2
1221167;62
2523946;92
2523946;15
2523946;1
2523946;2
2523946;20
2523946;22
1333023;14
2066523;1
2066523;2
2060538;1
2060538;2
2193566;14
2193566;12
459854;18
459854;138
1071862;15
1071862;68
1071862;43
1071862;55
1071862;98
1071862;41
1071862;39
1848523;15
1848523;22
1183153;15
1183153;68
1183153;1
1183153;2
1183153;12
1183153;80
1183153;22
1183157;32
1183157;85
1183157;139
1183157;29
1183157;74
1015546;48
1015546;12
1015546;98
1015546;110
1015546;111
1015546;65
1015546;119
1015547;47
1015547;97
1015547;48
1015547;14
1015547;12
1015547;110
1015547;111
1015547;65
1015547;119
1786981;75
1786981;86
1786981;126
1786981;12
1786981;98
1786981;65
1786981;119
1077167;9
1077167;48
1077167;12
1879198;49
1879198;124
1879303;49
1879303;18
1879303;19
1879303;12
1879303;98
1879303;134
1879303;124
1879303;20
1879303;65
1879303;66
1221127;49
1221127;124
1221127;65
1221127;66
1879055;49
1879055;131
1879055;65
1879055;66
1082641;108
1298683;14
1298683;12
1298683;98
1298683;117
1057351;12
1191045;14
1191802;1
1191802;2
1191802;6
1191802;7
2323457;63
2323457;48
2323457;17
2323457;13
2323457;38
1191103;16
1191103;35
1191103;36
1191103;26
1191103;37
1191103;22
1008563;48
1008563;11
1008563;17
1008563;22
1010897;15
1008147;15
1008147;22
1008147;81
1008147;23
1008147;30
1008147;31
1285798;93
1285798;41
1285798;38
1285798;22
1088917;15
1088917;20
1088917;106
1015539;48
1015539;12
1015539;98
1015539;110
1015539;111
1015539;65
1015539;119
1079586;43
1079586;88
1079586;89
1079586;54
1079586;76
1034582;15
1034582;18
1034582;48
1034607;47
1034607;18
1034607;48
1034608;97
1034608;48
1119847;48
1119847;14
1119847;12
1119847;66
1119847;129
1094430;12
1094430;21
1094430;65
1094430;119
1298361;14
1298361;12
1297724;12
1285458;49
1285458;124
1285458;65
1285458;66
1135944;1
1135944;2
1135944;12
1135944;98
1135944;70
1135944;71
1135944;21
1135944;22
1135944;3
1135944;95
1135944;6
1135944;8
1200627;1
1200627;2
1200627;22
1277303;140
1277303;1
1277303;2
1277303;12
1277303;70
1277303;25
1277303;91
1277303;128
1277303;58
1277303;65
1277303;66
1277303;141
1277303;142
1010807;74
1010807;1
1010807;2
1010807;12
1010807;22
1078283;15
1078283;18
1078283;48
1078283;12
1078283;26
1078283;37
1078283;22
1078283;3
1078283;4
1078283;5
1320045;1
1320045;2
1133321;16
1133321;12
1016771;3
1016771;4
1016771;6
1016771;8
2034187;1
2034187;2
1094620;1
1094620;2
1094620;26
1094620;3
1094620;6
1059051;1
1059051;2
1059051;26
1059051;3
1074278;12
2034044;1
2034044;2
1298146;1
1298146;2
1277321;75
1277321;12
2596092;38
2596092;143
2596092;22
2596092;144
2596092;27
2596092;78
2596092;3
2596092;95
2596092;132
1059477;15
1005090;92
1005090;1
1005090;2
1005090;41
1037025;26
1037025;3
1095125;1
1095125;2
1140172;21
2355801;12
2408403;41
2408403;38
2408344;1
2408344;2
2351425;14
2351425;12
2408345;41
2441754;48
2441754;17
2441754;12
2420871;12
2420871;60
2420871;38
2513971;15
2513971;18
2513971;19
2513971;41
2420832;48
2420832;131
2420832;14
2420832;12
2420832;60
2420832;38
1006633;43
1006633;54
1000161;15
1000161;43
1000161;55
1000161;12
1000161;41
1000161;20
1000161;38
1000160;15
1000160;68
1000160;12
1000160;87
1082970;18
1082970;19
1082970;12
1082970;98
1082970;25
1082970;21
1082970;22
1848999;3
1848999;4
2514905;41
2514905;65
2514905;119
1183140;22
1183140;23
1321630;15
1321630;14
1321630;12
1321630;20
1321630;38
1058851;12
1058851;6
2399670;48
2399670;14
2351419;14
2351419;12
1075042;26
1075042;37
1075042;3
1320969;1
1320969;2
1320969;3
1320969;4
1320969;6
1320969;8
1176697;145
1176697;146
1078769;113
2326945;12
2326945;21
2491464;1
2491464;2
1320074;12
1320074;26
1320074;22
1065869;68
1516267;75
1516267;14
1516267;12
1880806;49
1880806;124
1167026;15
1277221;1
1277221;2
1147148;15
1147148;48
1147148;17
1147148;38
2437487;1
2437487;2
2437487;70
2438012;12
1718205;1
1718205;2
1718205;115
1718205;25
1718205;22
1718205;3
1718205;95
1718205;147
1718205;148
2463602;1
2463602;2
2463602;38
1116871;23
2034290;23
2034290;30
2034290;31
2580825;149
1080966;18
1080966;19
1080966;134
1080966;3
1080966;4
1080966;6
1080966;8
1320680;10
2512863;1
2512863;2
1321175;47
1321175;15
1321175;12
1321175;98
1321175;21
1059982;32
1059982;47
1059982;88
1059982;14
1059982;54
1059982;76
1185163;15
1185163;18
1185163;19
1185163;48
1185163;12
1185163;21
1051201;47
1051201;90
1051201;44
1051201;88
1051201;89
1051201;54
1051201;12
1051201;40
796354;3
796354;4
796354;6
796354;8
2513132;1
2513132;2
2513132;3
2513132;4
2513132;6
2513132;8
1041951;22
1041951;3
1041951;4
1010890;15
1010892;15
1416863;20
1416863;38
1040619;41
2408348;41
1078146;1
1078146;2
2321692;86
2321692;51
791867;33
791867;115
791867;150
791867;41
791867;151
1034584;75
1034584;12
1034614;47
1034614;14
1034614;12
1221331;12
1297756;73
1297756;63
1264789;26
1264789;39
1016228;24
1016228;52
1016228;90
1147146;15
1147146;68
1147146;75
1147146;48
1147146;131
1147146;17
1147146;12
1147146;20
2524446;32
2524446;18
2524446;24
2524446;84
2524446;75
2524446;12
2524446;152
2524446;41
2524446;61
2524446;20
2524446;21
